evidence_type_id,locale,label,description,required_for,personal_data_default,verification_rule
O017-WRAP-EV-CORRECTED-NOTES,id-ID,Catatan akhir,Catatan yang memperlihatkan koreksi sesudah pemeriksaan,O017-WRAP-A02,false,perubahan dari catatan awal terlacak
O017-WRAP-EV-ACCESSIBILITY-CHECK,id-ID,Laporan akses,Permukaan metode uji hasil dan batas aksesibilitas,O017-WRAP-A02|O017-WRAP-A05,false,yang diuji dibedakan dari yang belum diuji
O017-WRAP-EV-INITIAL-ARTIFACT,id-ID,Artefak awal,Naskah atau produk sebelum kritik,O017-WRAP-A03,false,byte dan hash cocok
O017-WRAP-EV-REFEREE-REPORT,id-ID,Laporan penelaah,Komentar berlokator dan berbukti,O017-WRAP-A03,possible,ID penelaah buram dan lingkup disebut
O017-WRAP-EV-AUTHOR-RESPONSE,id-ID,Tanggapan penulis,Jawaban per komentar dengan tindakan bukti lokasi dan status,O017-WRAP-A03,possible,setiap komentar mempunyai baris
O017-WRAP-EV-DISPOSITION-TABLE,id-ID,Tabel disposisi,Pemetaan accepted partially accepted rejected with reason atau unresolved,O017-WRAP-A03,false,nilai berasal dari kosakata terkendali
O017-WRAP-EV-REVISED-ARTIFACT,id-ID,Artefak revisi,Naskah atau produk sesudah tanggapan,O017-WRAP-A03,false,byte dan hash cocok
O017-WRAP-EV-BEFORE-AFTER,id-ID,Bukti sebelum sesudah,Perbandingan tepat perubahan klaim bukti dan batas,O017-WRAP-A03,false,lokator kedua versi tersedia
O017-WRAP-EV-DISTINCTNESS-ATTESTATION,id-ID,Atestasi distingsi,Pernyataan minimal bahwa dua ID adalah dua manusia dan konflik diperiksa,O017-WRAP-A03|O017-WRAP-A04|O017-WRAP-A05,true,identitas tidak diungkap dalam paket
O017-WRAP-EV-UNRESOLVED-ITEMS,id-ID,Masalah tersisa,Daftar masalah terbuka setelah revisi,O017-WRAP-A03,false,tidak ada item tertutup tanpa bukti
O017-WRAP-EV-DEFECT-LOCATOR,id-ID,Lokator cacat,Posisi tepat pernyataan atau langkah yang diaudit,O017-WRAP-A04,false,lokator cocok dengan versi beku
O017-WRAP-EV-MINIMAL-REPRODUCER,id-ID,Reproducer minimal,Argumen atau komputasi terkecil yang menguji cacat,O017-WRAP-A04,false,dapat diulang tanpa akses tersembunyi
O017-WRAP-EV-MINIMAL-CORRECTION,id-ID,Koreksi minimal,Perubahan sekecil mungkin dengan bukti,O017-WRAP-A04,false,klaim yang tidak perlu diubah dipertahankan
O017-WRAP-EV-IMPACT-AUDIT,id-ID,Audit dampak,Dependensi dan jangkauan yang terpengaruh atau belum diketahui,O017-WRAP-A04,false,ketidakpastian jangkauan terlihat
O017-WRAP-EV-INDEPENDENT-CHECK,id-ID,Pemeriksaan independen,Metode hasil lingkup dan batas pemeriksa manusia kedua,O017-WRAP-A04,possible,atestasi distingsi dan artefak pemeriksaan tersedia
O017-WRAP-EV-CONTRIBUTION-PACKET,id-ID,Paket kontribusi,Artefak ringkas dapat ditinjau dan tidak duplikatif,O017-WRAP-A05,false,versi hak target dan validasi lengkap
O017-WRAP-EV-RIGHTS-CHECK,id-ID,Pemeriksaan hak,Hak sumber kontribusi target dan atribusi,O017-WRAP-A05,false,setiap komponen mempunyai dasar
O017-WRAP-EV-STATUS-LEDGER,id-ID,Ledger status,Peristiwa append-only dengan status dan bukti,O017-WRAP-A05,possible,setiap kenaikan status mempunyai bukti
O017-WRAP-EV-TRANSACTION-AUTHORIZATION,id-ID,Otorisasi transaksi,Izin manusia khusus untuk satu target artefak saluran dan masa,O017-WRAP-A05,true,semua bidang minimum ada dan masih berlaku
O017-WRAP-EV-TRANSMISSION-RECEIPT,id-ID,Tanda terima transmisi,Saksi bahwa artefak versi tertentu dikirim ke target,O017-WRAP-A05,possible,byte atau pengenal cocok dengan paket terotorisasi
O017-WRAP-EV-LOCAL-EXTERNAL-REVIEW,id-ID,Penelaahan lokal eksternal,Laporan manusia independen atas paket sumber nyata tanpa transmisi komunitas,O017-WRAP-A05,possible,ID manusia terverifikasi dan batas lokal dinyatakan
